packName,packLevel,sex,count,coatColor
Mollie's,Adult,Male,1,Undetermined
Mollie's,Adult,Male,1,Undetermined
Mollie's,Adult,Female,1,Undetermined
Mollie's,Adult,Female,1,Undetermined
Mollie's,Adult,Undetermined,1,Undetermined
Mollie's,Adult,Undetermined,1,Undetermined
Mollie's,Yearling,Undetermined,1,Undetermined
Mollie's,Yearling,Undetermined,1,Undetermined
Mollie's,Yearling,Undetermined,1,Undetermined
Mollie's,Yearling,Undetermined,1,Undetermined
Phantom Lake,Adult,Male,1,Gray
Phantom Lake,Adult,Female,1,Gray
Phantom Lake,Adult,Female,1,Black
Phantom Lake,Adult,Female,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Phantom Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Adult,Male,1,Black
Wapiti Lake,Adult,Female,3,Gray
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Adult,Female,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Wapiti Lake,Yearling,Undetermined,1,Undetermined
Prospect Peak,Adult,Male,1,Gray
Prospect Peak,Adult,Male,1,Gray
Prospect Peak,Adult,Female,1,Gray
Prospect Peak,Adult,Female,1,Gray
Prospect Peak,Adult,Female,1,Ivory
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Male,1,Undetermined
Junction Butte,Adult,Female,1,Undetermined
Junction Butte,Adult,Female,1,Undetermined
Junction Butte,Adult,Female,1,Undetermined
Junction Butte,Adult,Female,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Junction Butte,Yearling,Undetermined,1,Undetermined
Cougar Creek,Adult,Female,1,Black
Cougar Creek,Adult,Undetermined,1,Undetermined
Cougar Creek,Adult,Undetermined,1,Undetermined
Cougar Creek,Adult,Undetermined,1,Undetermined
Cougar Creek,Adult,Undetermined,1,Undetermined
Cougar Creek,Adult,Undetermined,1,Undetermined
Lone Wolves,Adult,Male,1,Undetermined
Lone Wolves,Adult,Female,1,Undetermined
Lone Wolves,Adult,Female,1,Undetermined
Lone Wolves,Adult,Female,1,Undetermined
Eight Mile,Adult,Female,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Male,1,Black
Eight Mile,Adult,Female,1,Black
Eight Mile,Adult,Undetermined,1,Black
Eight Mile,Adult,Undetermined,1,Black
Eight Mile,Adult,Female,1,Gray
Eight Mile,Yearling,Undetermined,1,Black
Eight Mile,Yearling,Undetermined,1,Black
Eight Mile,Yearling,Undetermined,1,Black
Eight Mile,Yearling,Undetermined,1,Black
Eight Mile,Yearling,Female,1,Gray
Eight Mile,Yearling,Undetermined,1,Gray
Eight Mile,Yearling,Undetermined,1,Gray
Eight Mile,Yearling,Undetermined,1,Black
Lamar Valley,Adult,Male,1,Undetermined
Lamar Valley,Adult,Female,1,Undetermined
Lamar Valley,Adult,Female,1,Undetermined
Lamar Valley,Yearling,Undetermined,1,Undetermined
Lamar Valley,Yearling,Undetermined,1,Undetermined
Lamar Valley,Yearling,Undetermined,1,Undetermined
Lamar Valley,Yearling,Undetermined,1,Undetermined
